: physical|物質
條紋 紋路|lines 靴子 鞋子|shoes
斜紋 紋路|lines 斜坡 坡地|SlopeLand
斜紋 紋路|lines 邊坡 坡地|SlopeLand
肌理 skin|皮 掌紋 hand|手
肌理 skin|皮 手印 手指|finger
肌理 skin|皮 指印 手指|finger
肌理 skin|皮 指紋 手指|finger
白斑 斑點|spot 白雪 雪|snow
白斑 斑點|spot 白堊 土壤|soil
白斑 斑點|spot 白衣 clothing|衣物
白斑 斑點|spot 白麵 麵|noodles
白斑 斑點|spot 白糖 糖|sugar
白斑 斑點|spot 白醋 醋|vinegar
白斑 斑點|spot 白酒 酒|liquor
白斑 斑點|spot 白紙 paper|紙張
白斑 斑點|spot 白板 黑板|blackboard
白斑 斑點|spot 白玉 玉石|jade
黑斑 斑點|spot 石墨 礦物|mineral
黑斑 斑點|spot 黑陶 陶器|pottery
黑斑 斑點|spot 烏鴉 bird|禽
黑斑 斑點|spot 烏 bird|禽
雀斑 臉|face 痣 skin|皮
花影 FlowerGrass|花草 人影 human|人
人影 影子|shadow 胎兒 embryo|胚
板塊 earth|大地 地面 land|陸地
板塊 earth|大地 水面 waters|水域
板塊 earth|大地 海面 海|sea
板塊 earth|大地 河面 河|river
板塊 earth|大地 湖面 湖|lake
板塊 earth|大地 鞋面 鞋子|shoes
板塊 earth|大地 路面 route|道路
板塊 earth|大地 牆面 牆壁|wall
板塊 earth|大地 車殼 LandVehicle|車
板塊 earth|大地 桌面 桌子|table
板塊 earth|大地 檯面 桌子|table
板塊 earth|大地 球面 球|ball
板塊 earth|大地 扇面 扇子|fan
板塊 earth|大地 彈殼 子彈|bullet
板塊 earth|大地 封面 書籍|books
地皮 land|陸地 百貨 雜貨|goods
地皮 land|陸地 造產 building|建築物
地皮 land|陸地 店面 facilities|設施
地皮 land|陸地 商港 港口|port
地皮 land|陸地 高商 專校|VocationalSchool
地皮 land|陸地 商職 專校|VocationalSchool
地皮 land|陸地 商船 ship|船
地皮 land|陸地 小型股 coupon|票證
地皮 land|陸地 金融股 coupon|票證
地皮 land|陸地 有價證券 coupon|票證
地皮 land|陸地 股票 coupon|票證
地皮 land|陸地 國庫券 coupon|票證
地皮 land|陸地 証券 coupon|票證
地皮 land|陸地 資產股 coupon|票證
地皮 land|陸地 證券 coupon|票證
地面 land|陸地 水面 waters|水域
地面 land|陸地 海面 海|sea
地面 land|陸地 河面 河|river
地面 land|陸地 湖面 湖|lake
地面 land|陸地 鞋面 鞋子|shoes
地面 land|陸地 路面 route|道路
地面 land|陸地 牆面 牆壁|wall
地面 land|陸地 車殼 LandVehicle|車
地面 land|陸地 桌面 桌子|table
地面 land|陸地 檯面 桌子|table
地面 land|陸地 球面 球|ball
地面 land|陸地 扇面 扇子|fan
地面 land|陸地 鏡面 鏡子|mirror
地面 land|陸地 彈殼 子彈|bullet
地面 land|陸地 封面 書籍|books
用地 land|陸地 用水 water|水
用地 land|陸地 用藥 medicine|藥物
河谷 河|river 溪谷 waters|水域
市地 land|陸地 城牆 牆壁|wall
處女地 land|陸地 新衣 clothing|衣物
處女地 land|陸地 新裝 clothing|衣物
處女地 land|陸地 新居 住所|residence
處女地 land|陸地 新家 住所|residence
遠山 山|mountain 遠洋 海|sea
遠山 山|mountain 九霄 sky|空域
遠山 山|mountain 太空 sky|空域
稜線 山|mountain 裙擺 裙子|skirt
稜線 山|mountain 袖口 袖子|sleeve
稜線 山|mountain 隅 building|建築物
稜線 山|mountain 床沿 床|bed
稜線 山|mountain 報端 報紙|newspaper
深山 山|mountain 深巷 巷子|lane
山脈 山|mountain 長流 河|river
山脈 山|mountain 長褲 褲子|pants
山脈 山|mountain 長裙 裙子|skirt
山脈 山|mountain 長袖 袖子|sleeve
山脈 山|mountain 長椅 座椅|chair
山脈 山|mountain 長劍 刀劍|sword
山脈 山|mountain 長矛 矛|spear
山脈 山|mountain 馬靴 鞋子|shoes
山脈 山|mountain 靴 鞋子|shoes
山脈 山|mountain 靴子 鞋子|shoes
假山 山|mountain 人造雨 雨|rain
假山 山|mountain 尼龍 纖維|fiber
假山 山|mountain 玻纖 纖維|fiber
後山 山|mountain 後背 body|身
後山 山|mountain 背 body|身
後山 山|mountain 背部 body|身
後山 山|mountain 脊背 body|身
冰山 山|mountain 冰川 河|river
冰山 山|mountain 冰河 河|river
荒山 山|mountain 草莽 land|陸地
荒山 山|mountain 荒野 land|陸地
荒山 山|mountain 野外 land|陸地
荒山 山|mountain 野地 land|陸地
荒山 山|mountain 曠野 land|陸地
荒山 山|mountain 山野 land|陸地
荒山 山|mountain 田野 land|陸地
荒山 山|mountain 郊野 land|陸地
荒山 山|mountain 原野 land|陸地
深谷 山谷|MountainValley 深海 海|sea
深谷 山谷|MountainValley 淵 湖|lake
深谷 山谷|MountainValley 深潭 湖|lake
深谷 山谷|MountainValley 深井 井|AWell
山群 山|mountain 重賞 獎品|prize
山群 山|mountain 程式庫 software|軟體
山群 山|mountain 車隊 LandVehicle|車
山群 山|mountain 船舶 ship|船
山群 山|mountain 船隊 ship|船
山群 山|mountain 艦隊 軍艦|NavalVessel
山群 山|mountain 套書 publications|書刊
山群 山|mountain 文庫 書籍|books
山群 山|mountain 書海 書籍|books
山群 山|mountain 叢書 書籍|books
山群 山|mountain 垃圾堆 waste|廢物
山群 山|mountain 人叢 human|人
山群 山|mountain 眾人 human|人
山群 山|mountain 群眾 human|人
山群 山|mountain 人海 human|人
山群 山|mountain 人堆 human|人
山群 山|mountain 人群 human|人
山群 山|mountain 人潮 human|人
山群 山|mountain 綠林 tree|樹
山群 山|mountain 樹林 tree|樹
山群 山|mountain 樹叢 tree|樹
山群 山|mountain 叢林 tree|樹
山群 山|mountain 林子 tree|樹
山群 山|mountain 林木 tree|樹
山群 山|mountain 森林 tree|樹
山群 山|mountain 列島 島|island
山群 山|mountain 群島 島|island
山巒 山|mountain 程式庫 software|軟體
山巒 山|mountain 車隊 LandVehicle|車
山巒 山|mountain 車輛 LandVehicle|車
山巒 山|mountain 船隊 ship|船
山巒 山|mountain 艦隊 軍艦|NavalVessel
山巒 山|mountain 文庫 書籍|books
山巒 山|mountain 書海 書籍|books
山巒 山|mountain 叢書 書籍|books
山巒 山|mountain 聯票 bill|單據
山巒 山|mountain 人叢 human|人
山巒 山|mountain 眾人 human|人
山巒 山|mountain 群眾 human|人
山巒 山|mountain 人海 human|人
山巒 山|mountain 人堆 human|人
山巒 山|mountain 人群 human|人
山巒 山|mountain 人潮 human|人
山巒 山|mountain 綠林 tree|樹
山巒 山|mountain 樹林 tree|樹
山巒 山|mountain 樹叢 tree|樹
山巒 山|mountain 叢林 tree|樹
山巒 山|mountain 林子 tree|樹
山巒 山|mountain 林木 tree|樹
山巒 山|mountain 森林 tree|樹
山巒 山|mountain 列島 島|island
山巒 山|mountain 群島 島|island
崇山峻嶺 山|mountain 重賞 獎品|prize
崇山峻嶺 山|mountain 程式庫 software|軟體
崇山峻嶺 山|mountain 車隊 LandVehicle|車
崇山峻嶺 山|mountain 船舶 ship|船
崇山峻嶺 山|mountain 船隊 ship|船
崇山峻嶺 山|mountain 艦隊 軍艦|NavalVessel
崇山峻嶺 山|mountain 套書 publications|書刊
崇山峻嶺 山|mountain 文庫 書籍|books
崇山峻嶺 山|mountain 書海 書籍|books
崇山峻嶺 山|mountain 萬卷書 書籍|books
崇山峻嶺 山|mountain 叢書 書籍|books
崇山峻嶺 山|mountain 垃圾堆 waste|廢物
崇山峻嶺 山|mountain 眾人 human|人
崇山峻嶺 山|mountain 群眾 human|人
崇山峻嶺 山|mountain 人海 human|人
崇山峻嶺 山|mountain 人堆 human|人
崇山峻嶺 山|mountain 人群 human|人
崇山峻嶺 山|mountain 人潮 human|人
崇山峻嶺 山|mountain 綠林 tree|樹
崇山峻嶺 山|mountain 樹林 tree|樹
崇山峻嶺 山|mountain 樹叢 tree|樹
崇山峻嶺 山|mountain 叢林 tree|樹
崇山峻嶺 山|mountain 林子 tree|樹
崇山峻嶺 山|mountain 林木 tree|樹
崇山峻嶺 山|mountain 森林 tree|樹
崇山峻嶺 山|mountain 列島 島|island
崇山峻嶺 山|mountain 群島 島|island
群山 山|mountain 重賞 獎品|prize
群山 山|mountain 程式庫 software|軟體
群山 山|mountain 車隊 LandVehicle|車
群山 山|mountain 船隊 ship|船
群山 山|mountain 艦隊 軍艦|NavalVessel
群山 山|mountain 套書 publications|書刊
群山 山|mountain 文庫 書籍|books
群山 山|mountain 書海 書籍|books
群山 山|mountain 萬卷書 書籍|books
群山 山|mountain 叢書 書籍|books
群山 山|mountain 聯票 bill|單據
群山 山|mountain 高票 選票|ballot
群山 山|mountain 垃圾堆 waste|廢物
群山 山|mountain 人叢 human|人
群山 山|mountain 眾人 human|人
群山 山|mountain 群眾 human|人
群山 山|mountain 人海 human|人
群山 山|mountain 人堆 human|人
群山 山|mountain 人群 human|人
群山 山|mountain 人潮 human|人
群山 山|mountain 綠林 tree|樹
群山 山|mountain 樹林 tree|樹
群山 山|mountain 樹叢 tree|樹
群山 山|mountain 叢林 tree|樹
群山 山|mountain 林子 tree|樹
群山 山|mountain 林木 tree|樹
群山 山|mountain 森林 tree|樹
群山 山|mountain 列島 島|island
群山 山|mountain 群島 島|island
山腳 山|mountain 海床 海|sea
山腳 山|mountain 鞋底 鞋子|shoes
山腳 山|mountain 鞋跟 鞋子|shoes
山腳 山|mountain 跟 鞋子|shoes
山腳 山|mountain 底座 artifact|人工物
山腳 山|mountain 底盤 artifact|人工物
山腳 山|mountain 座 artifact|人工物
山腳 山|mountain 窗台 窗戶|window
山腳 山|mountain 窗臺 窗戶|window
山腳 山|mountain 地基 building|建築物
山腳 山|mountain 橋墩 bridge|橋樑
山腳 山|mountain 路基 route|道路
山腳 山|mountain 牆腳 牆壁|wall
山腳 山|mountain 燈座 燈|lamp
山腳 山|mountain 腳底 foot|腳
山腳 山|mountain 腳板 foot|腳
山腳 山|mountain 腳掌 foot|腳
山麓 山|mountain 海床 海|sea
山麓 山|mountain 鞋底 鞋子|shoes
山麓 山|mountain 鞋跟 鞋子|shoes
山麓 山|mountain 跟 鞋子|shoes
山麓 山|mountain 底座 artifact|人工物
山麓 山|mountain 底盤 artifact|人工物
山麓 山|mountain 座 artifact|人工物
山麓 山|mountain 窗台 窗戶|window
山麓 山|mountain 窗臺 窗戶|window
山麓 山|mountain 地基 building|建築物
山麓 山|mountain 橋墩 bridge|橋樑
山麓 山|mountain 路基 route|道路
山麓 山|mountain 牆腳 牆壁|wall
山麓 山|mountain 燈座 燈|lamp
山麓 山|mountain 腳底 foot|腳
山麓 山|mountain 腳板 foot|腳
山麓 山|mountain 腳掌 foot|腳
土堆 山|mountain 細流 溪|stream
土堆 山|mountain 小溪 溪|stream
土堆 山|mountain 溪河 河|river
土堆 山|mountain 溪流 河|river
土堆 山|mountain 斗室 room|房間
土堆 山|mountain 小屋 house|房屋
土堆 山|mountain 寮 house|房屋
土堆 山|mountain 蓄水池 水庫|reservoir
土堆 山|mountain 診所 醫院|hospital
土堆 山|mountain 診療所 醫院|hospital
土堆 山|mountain 衛生所 醫院|hospital
土堆 山|mountain 小鋪 商店|shop
土堆 山|mountain 茶几 桌子|table
土堆 山|mountain 茶桌 桌子|table
土堆 山|mountain 匣 箱子|box
土堆 山|mountain 碟子 盤子|dish
土堆 山|mountain 鈴鐺 鈴|bell
土堆 山|mountain 小冊子 書籍|books
土堆 山|mountain 溪 河|river
土堆 山|mountain 紙片 paper|紙張
土堆 山|mountain 紙條 paper|紙張
土堆 山|mountain 紙頭 paper|紙張
山丘 山|mountain 細流 溪|stream
山丘 山|mountain 小溪 溪|stream
山丘 山|mountain 溪河 河|river
山丘 山|mountain 溪流 河|river
山丘 山|mountain 斗室 room|房間
山丘 山|mountain 小屋 house|房屋
山丘 山|mountain 寮 house|房屋
山丘 山|mountain 蓄水池 水庫|reservoir
山丘 山|mountain 診所 醫院|hospital
山丘 山|mountain 診療所 醫院|hospital
山丘 山|mountain 衛生所 醫院|hospital
山丘 山|mountain 小鋪 商店|shop
山丘 山|mountain 茶几 桌子|table
山丘 山|mountain 茶桌 桌子|table
山丘 山|mountain 匣 箱子|box
山丘 山|mountain 碟子 盤子|dish
山丘 山|mountain 鈴鐺 鈴|bell
山丘 山|mountain 小冊子 書籍|books
山丘 山|mountain 溪 河|river
山丘 山|mountain 紙片 paper|紙張
山丘 山|mountain 紙條 paper|紙張
山丘 山|mountain 紙頭 paper|紙張
主峰 山峰|MountainPeak 本島 島|island
主峰 山峰|MountainPeak 大菜 菜餚|dish
主峰 山峰|MountainPeak 主菜 菜餚|dish
主峰 山峰|MountainPeak 代表作 作品|works
主峰 山峰|MountainPeak 大門 門|door
主峰 山峰|MountainPeak 中心線 公路|highway
主峰 山峰|MountainPeak 幹道 公路|highway
主峰 山峰|MountainPeak 幹線 公路|highway
主峰 山峰|MountainPeak 主線 route|道路
主峰 山峰|MountainPeak 總廠 工廠|factory
主峰 山峰|MountainPeak 總店 商店|shop
主峰 山峰|MountainPeak 總機 電話|telephone
主峰 山峰|MountainPeak 主食 food|食品
主峰 山峰|MountainPeak 大街 route|道路
主峰 山峰|MountainPeak 大道 route|道路
主峰 山峰|MountainPeak 孔道 route|道路
主峰 山峰|MountainPeak 要道 route|道路
沙丘 丘陵|hill 沙岸 岸|shore
沙丘 丘陵|hill 沙坑 低地|lowland
山頂 山|mountain 天頂 sky|空域
山頂 山|mountain 浪頭 波浪|waves
山頂 山|mountain 樓頂 house|房屋
山頂 山|mountain 柱頭 柱子|pillar
山頂 山|mountain 車頂 LandVehicle|車
山頂 山|mountain 船頭 ship|船
山頂 山|mountain 筆尖 筆|pen
山頂 山|mountain 筆鋒 筆|pen
山頂 山|mountain 彈頭 子彈|bullet
山頂 山|mountain 箭頭 箭|arrow
山頂 山|mountain 頭頂 head|頭
山洞 山|mountain 槍口 槍|gun
山洞 山|mountain 肚臍 肚子|belly
山洞 山|mountain 肚臍眼 肚子|belly
山洞 山|mountain 地洞 land|陸地
山洞 山|mountain 洞穴 land|陸地
山洞 山|mountain 窟 land|陸地
巖穴 山|mountain 槍口 槍|gun
巖穴 山|mountain 肚臍 肚子|belly
巖穴 山|mountain 肚臍眼 肚子|belly
巖穴 山|mountain 地洞 land|陸地
巖穴 山|mountain 洞穴 land|陸地
巖穴 山|mountain 窟 land|陸地
山嶽 山|mountain 高空 sky|空域
山嶽 山|mountain 高潮 潮水|TidalWater
山嶽 山|mountain 高帽 帽子|headgear
山嶽 山|mountain 高帽子 帽子|headgear
山嶽 山|mountain 大個子 human|人
山嶽 山|mountain 巨人 human|人
山嶽 山|mountain 長人 human|人
山嶽 山|mountain 高個子 human|人
高山 山|mountain 高空 sky|空域
高山 山|mountain 高潮 潮水|TidalWater
高山 山|mountain 高帽 帽子|headgear
高山 山|mountain 高帽子 帽子|headgear
高山 山|mountain 頂樓 樓層|floor
高山 山|mountain 高層 樓層|floor
高山 山|mountain 大個子 human|人
高山 山|mountain 巨人 human|人
高山 山|mountain 長人 human|人
高山 山|mountain 高個子 human|人
山腰 山|mountain 中流 河|river
山腰 山|mountain 中游 河|river
山腰 山|mountain 腰 body|身
山腰 山|mountain 腰部 body|身
山腰 山|mountain 腰際 body|身
半山腰 山|mountain 中流 河|river
半山腰 山|mountain 中游 河|river
半山腰 山|mountain 腰 body|身
半山腰 山|mountain 腰部 body|身
半山腰 山|mountain 腰際 body|身
玉米田 玉米|corn 桑田 桑|mulberry
玉米田 玉米|corn 花田 花|flower
玉米田 玉米|corn 麥田 麥|wheat
玉米田 玉米|corn 稻田 稻米|rice
玉米田 玉米|corn 瓜田 瓜|melon
桑田 桑|mulberry 花田 花|flower
桑田 桑|mulberry 麥田 麥|wheat
桑田 桑|mulberry 稻田 稻米|rice
桑田 桑|mulberry 瓜田 瓜|melon
花田 花|flower 麥田 麥|wheat
花田 花|flower 稻田 稻米|rice
花田 花|flower 瓜田 瓜|melon
花田 田|farmland 花圃 園圃|orchard
花田 田|farmland 花壇 園圃|orchard
麥田 麥|wheat 稻田 稻米|rice
麥田 麥|wheat 瓜田 瓜|melon
官田 田|farmland 公物 artifact|人工物
官田 田|farmland 公產 artifact|人工物
官田 田|farmland 官房 宿舍|dormitory
官田 田|farmland 官窯 窯|kiln
官田 田|farmland 鈐印 印章|seal
官田 田|farmland 官股 證券|stocks
稻田 稻米|rice 瓜田 瓜|melon
良田 田|farmland 沃土 land|陸地
瓜田 田|farmland 瓜棚 棚子|shed
西海岸 海岸|seacoast 西岸 岸|shore
南岸 海岸|seacoast 南門 門|door
北海岸 海岸|seacoast 北岸 岸|shore
北海岸 海岸|seacoast 北門 門|door
東岸 海岸|seacoast 東門 門|door
東海岸 海岸|seacoast 東門 門|door
北岸 岸|shore 北門 門|door
彼岸 岸|shore 本報 報紙|newspaper
沙岸 岸|shore 沙坑 低地|lowland
海島 島|island 海流 水流|WaterFlow
海島 島|island 海堤 堤防|embankment
海島 島|island 海路 水路|waterway
海島 島|island 海輪 輪船|steamer
海島 島|island 海鳥 bird|禽
海島 島|island 海鷗 bird|禽
海島 島|island 海藻 藻類|algae
海島 島|island 礁 岩石|rock
海島 島|island 礁石 岩石|rock
本島 島|island 大菜 菜餚|dish
本島 島|island 主菜 菜餚|dish
本島 島|island 代表作 作品|works
本島 島|island 大門 門|door
本島 島|island 中心線 公路|highway
本島 島|island 幹道 公路|highway
本島 島|island 幹線 公路|highway
本島 島|island 主線 route|道路
本島 島|island 總廠 工廠|factory
本島 島|island 總店 商店|shop
本島 島|island 總機 電話|telephone
本島 島|island 主食 food|食品
本島 島|island 大街 route|道路
本島 島|island 大道 route|道路
本島 島|island 孔道 route|道路
本島 島|island 要道 route|道路
石洞 洞穴|cave 石刻 雕塑|sculpture
石洞 洞穴|cave 石像 雕塑|sculpture
石洞 洞穴|cave 石雕 雕塑|sculpture
石洞 洞穴|cave 石室 room|房間
石洞 洞穴|cave 石塔 塔|tower
石洞 洞穴|cave 石柱 柱子|pillar
石洞 洞穴|cave 石級 階梯|FlightOfStairs
石洞 洞穴|cave 石階 階梯|FlightOfStairs
石洞 洞穴|cave 石壁 牆壁|wall
石洞 洞穴|cave 石牆 牆壁|wall
石洞 洞穴|cave 石棺 棺材|coffin
坑洞 洞穴|cave 低地 land|陸地
坑洞 洞穴|cave 坑 land|陸地
壺穴 洞穴|cave 低地 land|陸地
壺穴 洞穴|cave 坑 land|陸地
地涵 land|陸地 岩層 earth|大地
地涵 land|陸地 零組件 implement|器具
地涵 land|陸地 機件 implement|器具
地涵 land|陸地 細胞質 animate|生物
地層 land|陸地 岩層 earth|大地
地層 land|陸地 零組件 implement|器具
地層 land|陸地 機件 implement|器具
地層 land|陸地 細胞質 animate|生物
自留地 land|陸地 私校 學校|school
自留地 land|陸地 自小客車 汽車|MotorVehicle
自留地 land|陸地 座機 飛機|airplane
私有地 land|陸地 私校 學校|school
私有地 land|陸地 自小客車 汽車|MotorVehicle
私有地 land|陸地 座機 飛機|airplane
空地 land|陸地 空屋 house|房屋
空地 land|陸地 空房 room|房間
空地 land|陸地 空瓶 瓶子|bottle
公地 land|陸地 公海 海|sea
公地 land|陸地 公器 artifact|人工物
公地 land|陸地 公廁 廁所|toilet
公地 land|陸地 公墓 墳墓|grave
公地 land|陸地 公帑 fund|資金
公地 land|陸地 公款 fund|資金
綠野 野外|field 清茶 茶|tea
綠野 野外|field 綠茶 茶|tea
綠野 野外|field 金龜 甲蟲|beetle
綠野 野外|field 金龜子 甲蟲|beetle
地心 earth|大地 江心 河|river
地心 earth|大地 軸心 machine|機器
地心 earth|大地 靶心 靶|TargetForShooting
地心 earth|大地 輪軸 輪子|wheel
水面 waters|水域 海面 海|sea
水面 waters|水域 河面 河|river
水面 waters|水域 湖面 湖|lake
水面 waters|水域 鞋面 鞋子|shoes
水面 waters|水域 路面 route|道路
水面 waters|水域 牆面 牆壁|wall
水面 waters|水域 車殼 LandVehicle|車
水面 waters|水域 桌面 桌子|table
水面 waters|水域 檯面 桌子|table
水面 waters|水域 球面 球|ball
水面 waters|水域 扇面 扇子|fan
水面 waters|水域 彈殼 子彈|bullet
水面 waters|水域 封面 書籍|books
碧海 海|sea 藍天 sky|空域
碧海 海|sea 藍空 sky|空域
碧海 海|sea 藍寶石 寶石|gem
遠洋 海|sea 九霄 sky|空域
遠洋 海|sea 太空 sky|空域
公海 海|sea 公器 artifact|人工物
公海 海|sea 公廁 廁所|toilet
公海 海|sea 公墓 墳墓|grave
公海 海|sea 公帑 fund|資金
公海 海|sea 公款 fund|資金
領海 海|sea 領空 sky|空域
海面 海|sea 河面 河|river
海面 海|sea 湖面 湖|lake
海面 海|sea 鞋面 鞋子|shoes
海面 海|sea 路面 route|道路
海面 海|sea 牆面 牆壁|wall
海面 海|sea 車殼 LandVehicle|車
海面 海|sea 桌面 桌子|table
海面 海|sea 檯面 桌子|table
海面 海|sea 球面 球|ball
海面 海|sea 扇面 扇子|fan
海面 海|sea 鏡面 鏡子|mirror
海面 海|sea 彈殼 子彈|bullet
海面 海|sea 封面 書籍|books
深海 海|sea 淵 湖|lake
深海 海|sea 深潭 湖|lake
深海 海|sea 深井 井|AWell
海床 海|sea 鞋底 鞋子|shoes
海床 海|sea 鞋跟 鞋子|shoes
海床 海|sea 跟 鞋子|shoes
海床 海|sea 底座 artifact|人工物
海床 海|sea 底盤 artifact|人工物
海床 海|sea 座 artifact|人工物
海床 海|sea 窗台 窗戶|window
海床 海|sea 窗臺 窗戶|window
海床 海|sea 地基 building|建築物
海床 海|sea 橋墩 bridge|橋樑
海床 海|sea 路基 route|道路
海床 海|sea 牆腳 牆壁|wall
海床 海|sea 燈座 燈|lamp
海床 海|sea 腳底 foot|腳
海床 海|sea 腳板 foot|腳
海床 海|sea 腳掌 foot|腳
上游 河|river 大腿 leg|腿
春水 河|river 春雨 雨|rain
春水 河|river 春裝 clothing|衣物
大江 河|river 大衣 外套|overcoat
大江 河|river 廣廈 樓房|TallBuilding
大江 河|river 大園 花園|FlowerGarden
大江 河|river 大車 汽車|MotorVehicle
大江 河|river 大卡車 貨車|truck
大江 河|river 貨櫃車 貨車|truck
大江 河|river 重機車 機車|motorcycle
大江 河|river 雙人床 床|bed
大江 河|river 大鼓 鼓|drum
大江 河|river 大鍋 鍋子|pot
大江 河|river 碗公 碗|bowl
下游 河|river 煙屁股 菸|tobacco
下游 河|river 煙蒂 菸|tobacco
下游 河|river 船尾 ship|船
下游 河|river 尾巴 animal|獸
下游 河|river 尾部 animal|獸
長流 河|river 長褲 褲子|pants
長流 河|river 長裙 裙子|skirt
長流 河|river 長袖 袖子|sleeve
長流 河|river 長椅 座椅|chair
長流 河|river 長劍 刀劍|sword
長流 河|river 長矛 矛|spear
長流 河|river 馬靴 鞋子|shoes
長流 河|river 靴 鞋子|shoes
長流 河|river 靴子 鞋子|shoes
河面 河|river 湖面 湖|lake
河面 河|river 鞋面 鞋子|shoes
河面 河|river 路面 route|道路
河面 河|river 牆面 牆壁|wall
河面 河|river 車殼 LandVehicle|車
河面 河|river 桌面 桌子|table
河面 河|river 檯面 桌子|table
河面 河|river 球面 球|ball
河面 河|river 扇面 扇子|fan
河面 河|river 鏡面 鏡子|mirror
河面 河|river 彈殼 子彈|bullet
河面 河|river 封面 書籍|books
清溪 溪|stream 清泉 泉水|SpringWater
清溪 溪|stream 清流 水流|WaterFlow
清溪 溪|stream 綠水 water|水
細流 溪|stream 溪河 河|river
細流 溪|stream 溪流 河|river
細流 溪|stream 斗室 room|房間
細流 溪|stream 小屋 house|房屋
細流 溪|stream 寮 house|房屋
細流 溪|stream 蓄水池 水庫|reservoir
細流 溪|stream 診所 醫院|hospital
細流 溪|stream 診療所 醫院|hospital
細流 溪|stream 衛生所 醫院|hospital
細流 溪|stream 小鋪 商店|shop
細流 溪|stream 茶几 桌子|table
細流 溪|stream 茶桌 桌子|table
細流 溪|stream 匣 箱子|box
細流 溪|stream 碟子 盤子|dish
細流 溪|stream 鈴鐺 鈴|bell
細流 溪|stream 小冊子 書籍|books
細流 溪|stream 溪 河|river
細流 溪|stream 紙片 paper|紙張
細流 溪|stream 紙條 paper|紙張
細流 溪|stream 紙頭 paper|紙張
小溪 溪|stream 溪河 河|river
小溪 溪|stream 溪流 河|river
小溪 溪|stream 斗室 room|房間
小溪 溪|stream 小屋 house|房屋
小溪 溪|stream 寮 house|房屋
小溪 溪|stream 蓄水池 水庫|reservoir
小溪 溪|stream 診所 醫院|hospital
小溪 溪|stream 診療所 醫院|hospital
小溪 溪|stream 衛生所 醫院|hospital
小溪 溪|stream 小鋪 商店|shop
小溪 溪|stream 茶几 桌子|table
小溪 溪|stream 茶桌 桌子|table
小溪 溪|stream 匣 箱子|box
小溪 溪|stream 碟子 盤子|dish
小溪 溪|stream 鈴鐺 鈴|bell
小溪 溪|stream 小冊子 書籍|books
小溪 溪|stream 溪 河|river
小溪 溪|stream 紙片 paper|紙張
小溪 溪|stream 紙條 paper|紙張
小溪 溪|stream 紙頭 paper|紙張
山澗 溪|stream 山莊 別墅|villa
山澗 溪|stream 山路 route|道路
山澗 溪|stream 山道 route|道路
山澗 溪|stream 山線 route|道路
山澗 溪|stream 山徑 小徑|path
支流 河|river 分場 工廠|factory
支流 河|river 分校 學校|school
支流 河|river 分店 商店|shop
支流 河|river 分號 商店|shop
支流 河|river 支店 商店|shop
支流 河|river 分機 電話|telephone
支流 河|river 支路 route|道路
支流 河|river 岔路 route|道路
支流 河|river 歧途 route|道路
支流 河|river 歧路 route|道路
中流 河|river 軸心 machine|機器
中流 河|river 靶心 靶|TargetForShooting
中游 河|river 腰 body|身
中游 河|river 腰部 body|身
中游 河|river 腰際 body|身
江心 河|river 軸心 machine|機器
江心 河|river 靶心 靶|TargetForShooting
溪河 河|river 斗室 room|房間
溪河 河|river 小屋 house|房屋
溪河 河|river 寮 house|房屋
溪河 河|river 蓄水池 水庫|reservoir
溪河 河|river 診所 醫院|hospital
溪河 河|river 診療所 醫院|hospital
溪河 河|river 衛生所 醫院|hospital
溪河 河|river 小鋪 商店|shop
溪河 河|river 茶几 桌子|table
溪河 河|river 茶桌 桌子|table
溪河 河|river 匣 箱子|box
溪河 河|river 碟子 盤子|dish
溪河 河|river 鈴鐺 鈴|bell
溪河 河|river 小冊子 書籍|books
溪河 河|river 紙片 paper|紙張
溪河 河|river 紙條 paper|紙張
溪河 河|river 紙頭 paper|紙張
溪流 河|river 斗室 room|房間
溪流 河|river 小屋 house|房屋
溪流 河|river 寮 house|房屋
溪流 河|river 蓄水池 水庫|reservoir
溪流 河|river 診所 醫院|hospital
溪流 河|river 診療所 醫院|hospital
溪流 河|river 衛生所 醫院|hospital
溪流 河|river 小鋪 商店|shop
溪流 河|river 茶几 桌子|table
溪流 河|river 茶桌 桌子|table
溪流 河|river 匣 箱子|box
溪流 河|river 碟子 盤子|dish
溪流 河|river 鈴鐺 鈴|bell
溪流 河|river 小冊子 書籍|books
溪流 河|river 紙片 paper|紙張
溪流 河|river 紙條 paper|紙張
溪流 河|river 紙頭 paper|紙張
湖面 湖|lake 鞋面 鞋子|shoes
湖面 湖|lake 路面 route|道路
湖面 湖|lake 牆面 牆壁|wall
湖面 湖|lake 車殼 LandVehicle|車
湖面 湖|lake 桌面 桌子|table
湖面 湖|lake 檯面 桌子|table
湖面 湖|lake 球面 球|ball
湖面 湖|lake 扇面 扇子|fan
湖面 湖|lake 鏡面 鏡子|mirror
湖面 湖|lake 彈殼 子彈|bullet
湖面 湖|lake 封面 書籍|books
淵 湖|lake 深井 井|AWell
深潭 湖|lake 深井 井|AWell
活泉 泉水|SpringWater 流水 water|水
活泉 泉水|SpringWater 活水 water|水
活泉 泉水|SpringWater 氣流 空氣|air
清泉 泉水|SpringWater 清流 水流|WaterFlow
清泉 泉水|SpringWater 綠水 water|水
